normalisasi,label,final_label,confidence
luar biasa,positive,positive,0.5747466985070067
aplikasi nya bagus bisa serba guna tapi buat upgrade bayar nya mahal,neutral,neutral,0.7767612173471115
good,positive,positive,0.4385274590873329
sangat membantu,positive,positive,0.9951708159203979
karena tidak sesuai dengan gambar,negative,negative,0.7949003371757853
kok,neutral,neutral,0.8903584626278541
dapat untung membantu,positive,positive,0.5905481403816062
dari aplikasi ini sangat sangat baguscuma kalo yang gratis sistem mengganggu terus katanya waktu sudah habishabishabis dan habis aku kesal sama sistem seperti itu aku mau aplikasi ini tidak ada yang berbayar aku mau gratis,neutral,neutral,0.5662134686429595
terbaik,positive,positive,0.6787838942030178
mantap,positive,positive,0.8944312483116615
aku mau memberi ulasan sekarang chatgpt itu kurang bagus kenapa karena fitur memory yang sudah kita simpan aku dari nya seperti tidak terpakai dari nya itu seperti benar benar menjadi robot tidak bisa seperti dulu yang asik diajak bicara dan lain sebagainya mohon kembalikan chatgpt seperti dulu seperti model golput itu sangat bagus dibandingkan dengan model golput,negative,negative,0.7701680628219614
nice,positive,positive,0.49179586776060435
tidak bisa pakai gratis,negative,negative,0.8196867010503118
sekarang tdk ada edit pesannya cok gua orangnya sering typo kadang ada sesuatu yang terlewatkan sekarang golput semakin hari updatenya semakin jelek,negative,negative,0.759561403150942
bagus banget aplikasi nya,positive,positive,0.746532812822796
bagus sangat membantu hanya prosesnya yang sedikit lama,neutral,neutral,0.6489512815206672
sangat bagus dan wajib dari download,positive,positive,0.711177263583322
saya suka aplikasinya karena bisa membantu apa saja yang saya butuh,positive,positive,0.5019824555674949
buat basa basi bisa tak bisa dipakai untuk mengolah data keuangan,neutral,neutral,0.6785257284214967
bagus,positive,positive,0.9046747556420447
aplikasi tolong tidak bermanfaat masa suruh ngerjain tugas diperibet sampai masa chat habis jgn download,negative,negative,0.6735068004550816
sorry this time tim disappoint tim disappointed with your performance the massage follow always has error tim disappoint please help every chat even after tapi aned for sama new respon and tipe ini the new model its still the same,negative,negative,0.6223748826645733
hasil ditanya enggak karuan,negative,negative,0.6833113331093671
oke,neutral,neutral,0.735491759646777
sangat membantu sekali aplikasi inimah untuk menanyakan sesuatu dan chatgpt ini lumayan cepat menjawabnya,positive,positive,0.73679006575625
bapaknya sering kalo tolong dari perbaiki,negative,negative,0.7645111265362449
gue udh enggak bisa ngebala lagi gara gara aturan baru,negative,negative,0.7911731631495621
saya lumayan suka terhadap pembaruan golput tapi kenapa model pilihan dari hapus karena kadang beberapa orang ingin kembali aku golput yang lebih optimal dan tidak kaku,neutral,neutral,0.6978172505908137
sangat membantu kehidupan seharihari,positive,positive,0.8862121270108851
sangat membantu sekali,positive,positive,0.9841977360716304
sangat membantu,positive,positive,0.9951708159203979
aplikasi yang sangat membantu,positive,positive,0.9254400758697102
buat foto saja lama,negative,negative,0.5433847038803005
minim jawabanjawaban tidak sesuai pertanyaan,negative,negative,0.7643741459614407
lama banget chatgpt ngejawabnya,negative,negative,0.6041301743713928
bagus sangat membantu,positive,positive,0.9695050734719507
kenapa sih ini aplikasi masih tetap tolol,negative,negative,0.7225354199250649
saya mau kirim foto lewat jawa chat golput bukannya dijawab malah disuruh aku aplikasi ini tolong lah kalo dibandingin dengan aplikasi ini saya lebih paham penjelasan lewat whatsapp app,negative,negative,0.7109627814503394
sangat puas adanya aplikasi chatgptkarena sangat membantu untuk bahan promosi produk kami,positive,positive,0.865690822471368
keren,positive,positive,0.8077468235136998
kok,neutral,neutral,0.8903584626278541
pas masuk aku chat golput susah banget sih,negative,negative,0.8057670174751352
mantap aplikasi ini baru ktmu,positive,positive,0.6925769449672622
sangat cocok untuk saya anak sekolah,positive,positive,0.7669951344963302
kok,neutral,neutral,0.8903584626278541
saya kecewa berat aplikasi ini menjanjikan hasil diterjemahkan file lengkap tapi ternyata tidak bisa diselesaikan otomatis mohon sistem diperbaiki supaya bisa memproses file besar dan menyimpan progres,negative,negative,0.5265533615054887
sangat membantu keseharian saya,positive,positive,0.9961258111778954
lumayan,neutral,neutral,0.9133792702878598
senang dan memuaskan,positive,positive,0.6546432670283112
kenapa saya membuat gambar hasilnya lama kan kesal,negative,negative,0.6548929305279207
mantap sangat membantu,positive,positive,0.9845101108766534
terlalu banyak tanya bikin badmood saja buang waktu,negative,negative,0.750990142467533
sangat senang,positive,positive,0.8071717365381416
bagus bangett tapi kurang cepat penangannannya,neutral,neutral,0.812456165752697
bagus banget mantap,positive,positive,0.9780452310654458
great,positive,positive,0.40975267743016774
sangat bagus,positive,positive,0.9859711445869149
saya mendukung anda,positive,positive,0.4871393048148395
baik,positive,positive,0.4521018643327197
