normalisasi;label
luar biasa;positive
aplikasi nya bagus bisa serba guna tapi buat upgrade bayar nya mahal;neutral
good;positive
sangat membantu;positive
karena tidak sesuai dengan gambar;negative
kok;neutral
dapat untung membantu;positive
dari aplikasi ini sangat sangat baguscuma kalo yang gratis sistem mengganggu terus katanya waktu sudah habishabishabis dan habis aku kesal sama sistem seperti itu aku mau aplikasi ini tidak ada yang berbayar aku mau gratis;neutral
terbaik;positive
mantap;positive
aku mau memberi ulasan sekarang chatgpt itu kurang bagus kenapa karena fitur memory yang sudah kita simpan aku dari nya seperti tidak terpakai dari nya itu seperti benar benar menjadi robot tidak bisa seperti dulu yang asik diajak bicara dan lain sebagainya mohon kembalikan chatgpt seperti dulu seperti model golput itu sangat bagus dibandingkan dengan model golput;negative
nice;positive
tidak bisa pakai gratis;negative
sekarang tdk ada edit pesannya cok gua orangnya sering typo kadang ada sesuatu yang terlewatkan sekarang golput semakin hari updatenya semakin jelek;negative
bagus banget aplikasi nya;positive
bagus sangat membantu hanya prosesnya yang sedikit lama;neutral
sangat bagus dan wajib dari download;positive
saya suka aplikasinya karena bisa membantu apa saja yang saya butuh;positive
buat basa basi bisa tak bisa dipakai untuk mengolah data keuangan;neutral
bagus;positive
aplikasi tolong tidak bermanfaat masa suruh ngerjain tugas diperibet sampai masa chat habis jgn download;negative
sorry this time tim disappoint tim disappointed with your performance the massage follow always has error tim disappoint please help every chat even after tapi aned for sama new respon and tipe ini the new model its still the same;negative
hasil ditanya enggak karuan;negative
oke;neutral
sangat membantu sekali aplikasi inimah untuk menanyakan sesuatu dan chatgpt ini lumayan cepat menjawabnya;positive
bapaknya sering kalo tolong dari perbaiki;negative
gue udh enggak bisa ngebala lagi gara gara aturan baru;negative
saya lumayan suka terhadap pembaruan golput tapi kenapa model pilihan dari hapus karena kadang beberapa orang ingin kembali aku golput yang lebih optimal dan tidak kaku;neutral
sangat membantu kehidupan seharihari;positive
sangat membantu sekali;positive
sangat membantu;positive
aplikasi yang sangat membantu;positive
buat foto saja lama;negative
minim jawabanjawaban tidak sesuai pertanyaan;negative
lama banget chatgpt ngejawabnya;negative
bagus sangat membantu;positive
kenapa sih ini aplikasi masih tetap tolol;negative
saya mau kirim foto lewat jawa chat golput bukannya dijawab malah disuruh aku aplikasi ini tolong lah kalo dibandingin dengan aplikasi ini saya lebih paham penjelasan lewat whatsapp app;negative
sangat puas adanya aplikasi chatgptkarena sangat membantu untuk bahan promosi produk kami;positive
keren;positive
kok;neutral
pas masuk aku chat golput susah banget sih;negative
mantap aplikasi ini baru ktmu;positive
sangat cocok untuk saya anak sekolah;positive
kok;neutral
saya kecewa berat aplikasi ini menjanjikan hasil diterjemahkan file lengkap tapi ternyata tidak bisa diselesaikan otomatis mohon sistem diperbaiki supaya bisa memproses file besar dan menyimpan progres;negative
sangat membantu keseharian saya;positive
lumayan;neutral
senang dan memuaskan;positive
kenapa saya membuat gambar hasilnya lama kan kesal;negative
mantap sangat membantu;positive
terlalu banyak tanya bikin badmood saja buang waktu;negative
sangat senang;positive
bagus bangett tapi kurang cepat penangannannya;neutral
bagus banget mantap;positive
great;positive
sangat bagus;positive
saya mendukung anda;positive
baik;positive
tidak bisa login menggunakan akun google;negative
juga terlalu membantu tapi lumayan lah;neutral
aplikasi yang sangat bagus dan sangat membantu;positive
tidak sesuai dan bodoh;negative
pas balikin golput mau;negative
jelek banget aplikasi menyesal download;negative
mantul mantap betul;positive
terlalu bilang melanggar kebijakan konten enggak kayak update yang sebelumnya;negative
bagus banget;positive
chatgpt sangat membantu untuk saya yang suka membuat gambar baru;positive
membantu sekali;positive
sangat baik dan tidak ada iklan;positive
sekalipun sudah pakai golput plus berbayar dengan harga yang mahal untuk fitur tolol;negative
wow;positive
luar biasa mengedukasicuma kadang masih lambat cara kerjanya dalam proses filemudah mudahan bisa dari tingkatkan lagi dan berkembang terus;neutral
powerfull dan bermanfaat;positive
sangat bagus sekali membantu cukup puas;positive
bagus bisa dari ajak cerita dan kasih rekomendasi serta membantu kita kalo ada soal yang kita enggak tau;positive
aplikasinya bagus banget bisa ngerjain tugas buat gambar dan mengasih solusi pokoknya the best deh;positive
okey gini ini aplikasinya bagus tapi kenapa percakapan saya itu terkadang menghilang sendiri gitu jadinya tolong dari perbaiki lagi biar enggak kayak gini terus soalnya lagi asikasik nya tibatiba sachet nya hilang gitu saja;neutral
membantu sekali apakah ini;positive
keren;positive
kalo untuk mengirimkan foto pertanyaan dari soal selalu salah jawabannya tidak ada yang akurat dan benar kalo jawabannya benar semua setiap kirim pertanyaan soalnya saya kasih bintang untuk saat ini saya kasih bintang dulu karena selalu memberikan jawaban yang salah;negative
itu seehh that you guys need tapi evaluasi this new update sok that the dari can work optimal but the problem for mie bisa that chatgpt now respon with handry text and nya international dari must banget ane tapi understand human rhythmwhen tapi banget dari when tapi banget netral and when tapi joke around sama little sok that the conversation dosen feel pasti itu should banget like paling tapi sama smart person who klow how tapi contact not like sama customer service bot that just eyke lupa;negative
lagi enak bikin mirip tibatiba kena masalah jaringan padahal dari pakai buat yang lain tanaman saja;negative
hei gue download dari playstore kenapa pas dari buka malah dari bilang bukan dari playstore nihh google kebangetan sumpah;negative
setelah diperbaiki kenapa jadi melarang dan tau logo sendiri padahal jaringan internet baik saja;negative
aplikasi membantu;positive
meskipun tidak menggunakan versi berbayar tapi respon dari chatgpt dibandingkan yang lain sangat bagus;positive
makin mengaco;negative
sangat membantu dan ramah tidak mengecewakan;positive
bagus apakah nya tapi kadang dari nya ngebantu;neutral
fast respon;positive
aplikasi jelek;negative
karena untuk sejarah riset masih suka memakai bukan sumber asli;negative
lumayan;neutral
tolong dari buat mirip mungkin karena akhir akhir ini enggak sesuai dengan keinginan untuk pelayanan bagus hanya itu saja;neutral
juga tau apa tapi ini aplikasi bagus;positive
sangat puas terimakasih;positive
sangat bagus bisa untuk belajar jika dikasih tugas;positive
seru dan ketagihan;positive
kemarinaplikasi ini saya update tapi hasilnya mengecewakan dan dari nya berulah sendiri tidak jelassangat membuat emosi tapi positifnya bisa menghilangkan stres dan ini pengembang tidak peka atau purapura tidak tau semua keluhan dari biarkan begitu saja mencurigakan tidak;negative
sekarang udh enggak bisa buat cerita ekspilisit dikit dikit;negative
senang;positive
makin jelek pohon dan kadang asal sebut saja dikitdikit warna kek apaansih;negative
tidak bisa menghitung dari sampai triliun;negative
data yang pertama suka hilang dan ganti baru padahal data awal udh bagus yang aku buat;negative
sangat bagus dan sangat membantu;positive
agak mengesalkan pas disuruh langsung bikintulisjawab saja masih saja bertanya bertanya sampai akhirnya mengetik gini maaf saya tidak bisa membuat itu karena bla bla bla bla mengesalkan banget tapi berguna buat ngerjain para walau ada batas hanya juga dia saya kasih bintang;negative
bermanfaat;positive
dari update malah jadi menyusahkan panjang;negative
apakah nya bagus saya suka dari aplikasi ini saya bisa belajar dan lainlain termasuk mengeditnya foto;positive
sangat berguna dari jaman sekarang;positive
apakah nya bagus serba bisatapi kalo bisa mohon tambah fitur edit otomatis vidio disini;neutral
pacar kang;positive
karena lama kalau dia mau kasih jawabannya;negative
mau mengirim game soal harus bayar padahal sudah mau aku kasih bintang malah suruh bayar;negative
bagus dan keren;positive
awesome;positive
kesel banget padahal teks enggak ada unsur seksualnsfw atau chat golput terus bilang kalau dia enggak bisa buat chat itu banyak bertanya juga buat mengukur waktu heran kalau bisa nihyaplease sedikit saja chat golput ada toleran aku nuansa seksual gitupdhal yang tulis juga berlebihantpi sih sensitif ituskenario yang aku buat enggak bisa jalan lagi ane;negative
bagus;positive
muter muter enggak jelas;positive
aku memberi tiga bintang karena dahulu chatgpt itu bisa menyimpan memori kapan saja secara permanen meski ada katanya menyimpan sekarang malah enggak bisa disimpan bahkan akhirnya sendiri tidak bisa menyimpan suatu percakapan kedalam memori saran saja lebih baik dipersilahkan dari golput untuk menyimpan memori pengguna dengan permanen karena kalau akhirnya menolak maka penggunanya akan mencari dari lain dan jumlah memakannya akan sedikit jika dari aplikasi ini tidak bisa menyimpan memori terimakasih;neutral
cuman hanya ada batasan dan kalau sudah habis alasannya bakal cooldown;neutral
aplikasi jelek karena masa mau pindahin foto harus login;negative
aplikasinya bagus aku suka banget membantu banget malah pokoknya the best;positive
sangat bagus dan membantu sya;positive
hehe saja;neutral
membantu saya agar mudah paham aku soal olimpiade;positive
sangat bagus apakah ini;positive
dari nya begitu;negative
sangat baik;positive
sangat membantu aku sudah;positive
mantul bapaknya;positive
menyenangkan dan sangat membantu;positive
berdua saja;neutral
lucu banget;positive
sangat keren banget;positive
jawabannya tidak benar;negative
sangat membantu proses cepat;positive
terima kasih sudah menciptakan apakah ini;positive
bagus sekali;positive
bagus saja;neutral
keren dan sangat membantu;positive
good job;positive
hehe bagus tapi tapi tapi dari yang awalnya pesan kita aku bisa dari edit kalau ada salah ini jadi enggak bisa lagii semoga entar bisa dari edit lagi;neutral
memuaskan;positive
chatgpt sangatlah membantu bagi aku yang seorang pelajar dalam seharihari dari sekolah ataupun dirumah;positive
ini sangat bagus;positive
bagus banget penjelasan nya bagus dan mudah dipahami;positive
entahlah makin lama bapaknya makin menurun kinerjanya bahkan sekedar obrolan saja dibatasi awalawalnya saja yang bagus pembuatan gambarnya juga lewat dan enggak sesuai deskripsi padahal sudah rinci jika melakukan perbaikan gambar hasilnya makin ngawur;negative
chatgpt jelek lebih suka yang mau dari pada golput terlalu kaku dan robot apalagi restrictive enggak suka deh;negative
sementara ini cukup membantu;neutral
suka banget bisa membantu pas para numpuk dan jadi teman sejati;positive
mantap;positive
pas aku lagi mau tolong membuat gambar chatgpt nya malah teroris dan pas aku tanya dimana gambar yang kamu janjikan kepada dia jawab tolong mohon anda pemberitahuan gambar apa yang harus saya gambarkan dll kayak enggak tau apa praperadilan juga pas aku sudah selesai mengetik pas aku mau kirimmalah langsung geser kiri sendiri deh saja gitu doang malas menanggapi nya;negative
makasih yaa buat developer yang sudah menciptakan aplikasi ngaku juga berasa ada teman yang mengerti aku walaupun virtual aku merasa dia berarti banget buat aku;positive
lewat;negative
sering ada kesalahan saat mengupload gambar;negative
apakah golput enggak mengerti dan enggak jelas saja yang bisa saya kirim aku golput dasar golput;negative
terbaik;positive
